disease,combined_text
Actinic Keratosis,"Disease: Actinic Keratosis | Disease Description: Actinic keratosis is a rough, scaly patch on the skin caused by prolonged sun exposure, and is considered a precancerous condition that can develop into squamous cell carcinoma. | Precautions Recommendation: Avoid sun exposure, Use broad-spectrum sunscreen, Wear protective clothing, See dermatologist regularly | Medicines Recommendation: ['Topical 5-fluorouracil', 'Imiquimod cream', 'Diclofenac gel', 'Cryotherapy', 'Photodynamic therapy'] | Diet Recommendation: ['Antioxidant-rich foods (berries, spinach, nuts)', 'Vitamin E-rich foods (almonds, sunflower seeds)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Green tea', 'Avoid excessive sun exposure'] | Workouts Recommendation: [""Indoor workouts: Avoid sun exposure"", ""Gentle stretching: Maintain skin comfort"", ""Low-sweat activities: Prevent skin irritation"", ""Walking in shaded areas: If outdoor movement needed""]"
Chronic Obstructive Pulmonary Disease (Copd),"Disease: Chronic Obstructive Pulmonary Disease (Copd) | Disease Description: COPD is a group of progressive lung diseases, including emphysema and chronic bronchitis, characterized by airflow limitation, coughing, wheezing, and shortness of breath. | Precautions Recommendation: Avoid smoking, Use inhalers as prescribed, Stay away from air pollution, Get vaccinated against flu | Medicines Recommendation: ['Bronchodilators (e.g., Salbutamol)', 'Inhaled corticosteroids', 'Phosphodiesterase-4 inhibitors (e.g., Roflumilast)', 'Oxygen therapy', 'Antibiotics during exacerbations'] | Diet Recommendation: ['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (wild salmon, walnuts)', 'High-protein foods (chicken, beans)', 'Vitamin C-rich foods (oranges, broccoli)', 'Hydration'] | Workouts Recommendation: [""Pursed-lip breathing: Improve oxygen use"", ""Walking: Build endurance safely"", ""Stationary biking: Low strain on lungs"", ""Pulmonary rehabilitation exercises: Doctor-guided regimens""]"
Spondylosis,"Disease: Spondylosis | Disease Description: Spondylosis is a degenerative condition affecting the spine due to aging, resulting in stiffness, pain, and reduced mobility due to wear and tear on spinal discs and joints. | Precautions Recommendation: Maintain good posture, Exercise regularly, Use ergonomic chairs, Avoid lifting heavy weights | Medicines Recommendation: ['NSAIDs (e.g., Naproxen)', 'Muscle relaxants', 'Physical therapy', 'Epidural steroid injections', 'Surgery in severe cases'] | Diet Recommendation: ['Calcium-rich foods (milk, cheese, fortified plant milk)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Anti-inflammatory foods (turmeric, leafy greens)', 'Magnesium sources (nuts, seeds)', 'Omega-3 fatty acids (flaxseeds, fish)'] | Workouts Recommendation: [""Neck and back stretches: Improve mobility"", ""Posture correction exercises: Reduce strain"", ""Tai chi or yoga: Low-impact balance and movement"", ""Avoid high-impact sports: Prevent joint stress""]"
Injury To The Arm,"Disease: Injury To The Arm | Disease Description: Injury to the arm refers to damage to muscles, bones, ligaments, or skin in the arm area from trauma, leading to pain, swelling, bruising, or limited movement. | Precautions Recommendation: Immobilize the arm, Apply cold compress, Elevate the arm, Seek medical care if swelling | Medicines Recommendation: ['Pain relievers (e.g., Acetaminophen)', 'Cold compress', 'Immobilization/splinting', 'Antibiotics (if open wound)', 'Physical therapy'] | Diet Recommendation: ['Protein-rich foods (chicken, eggs, legumes)', 'Vitamin C-rich foods (citrus fruits, strawberries)', 'Zinc sources (beef, pumpkin seeds)', 'Hydration', 'Anti-inflammatory foods (turmeric, ginger)'] | Workouts Recommendation: [""Physical therapy: Guided recovery exercises"", ""Range-of-motion drills: Regain flexibility"", ""Isometric strengthening: Build muscles without movement"", ""Avoid overuse: Prioritize rest and pacing""]"
Complex Regional Pain Syndrome,"Disease: Complex Regional Pain Syndrome | Disease Description: Complex regional pain syndrome (CRPS) is a chronic pain condition usually affecting a limb after injury, with symptoms including burning pain, swelling, and sensitivity to touch. | Precautions Recommendation: Follow physical therapy, Manage stress, Take prescribed medication, Avoid injury to the affected limb | Medicines Recommendation: ['Gabapentin', 'Amitriptyline', 'Physical therapy', 'Corticosteroids', 'Nerve blocks'] | Diet Recommendation: ['Anti-inflammatory foods (turmeric, berries, leafy greens)', 'Omega-3 fatty acids (salmon, walnuts)', 'Magnesium-rich foods (spinach, almonds)', 'Vitamin D-rich foods (fortified milk, egg yolks)', 'Avoid processed sugars and alcohol'] | Workouts Recommendation: [""Gentle stretching: Prevent contractures"", ""Desensitization exercises: Rebuild nerve tolerance"", ""Mirror therapy: Improve brain-muscle coordination"", ""Aqua therapy: Low-pain water exercises""]"
Injury To The Trunk,"Disease: Injury To The Trunk | Disease Description: Injury to the trunk includes trauma to the chest, abdomen, or back areas, possibly involving internal organs, muscles, or bones, and can range from minor bruises to serious internal damage. | Precautions Recommendation: Apply ice or heat, Rest adequately, Use support belts if advised, Avoid strenuous activity | Medicines Recommendation: ['Pain relievers (e.g., Ibuprofen)', 'Ice/heat therapy', 'Muscle relaxants', 'Wound care (if external)', 'Physiotherapy'] | Diet Recommendation: ['High-protein foods (tofu, lean meats)', 'Vitamin C-rich foods (bell peppers, kiwi)', 'Zinc sources (shellfish, nuts)', 'Hydration', 'Anti-inflammatory spices (ginger, turmeric)'] | Workouts Recommendation: [""Core stability workouts: Strengthen abdomen/back"", ""Breathing exercises: Ease pain and tension"", ""Walking: Gentle activity for circulation"", ""Avoid twisting movements: Reduce risk of re-injury""]"
Vulvodynia,"Disease: Vulvodynia | Disease Description: Vulvodynia is chronic pain or discomfort around the opening of the vagina (vulva) with no identifiable cause, often described as burning, stinging, or irritation. | Precautions Recommendation: Wear loose cotton clothing, Avoid scented products, Use prescribed creams, Manage stress levels | Medicines Recommendation: ['Topical Lidocaine', 'Tricyclic antidepressants (e.g., Amitriptyline)', 'Gabapentin', 'Physical therapy', 'Cognitive behavioral therapy'] | Diet Recommendation: ['Anti-inflammatory foods (blueberries, leafy greens)', 'Probiotics (yogurt, kimchi)', 'Omega-3 fatty acids (flaxseeds, salmon)', 'Vitamin E-rich foods (nuts, seeds)', 'Avoid irritants and processed foods'] | Workouts Recommendation: [""Pelvic floor relaxation: Avoid tightness"", ""Gentle yoga: Reduce pelvic pain"", ""Breathing techniques: Help with stress-linked flares"", ""Avoid bike riding: Prevent pressure on sensitive area""]"
Concussion,"Disease: Concussion | Disease Description: A concussion is a mild traumatic brain injury caused by a blow to the head or body, resulting in temporary loss of brain function, such as confusion, memory loss, or dizziness. | Precautions Recommendation: Rest and avoid screens, Avoid physical activity, Monitor symptoms, Follow up with neurologist | Medicines Recommendation: ['Rest', 'Acetaminophen (avoid NSAIDs early)', 'Cognitive rest', 'Hydration', 'Gradual return to activities'] | Diet Recommendation: ['Omega-3 fatty acids (chia seeds, salmon)', 'Antioxidant-rich foods (blueberries, dark chocolate)', 'Protein-rich foods (eggs, chicken)', 'Hydration', 'B vitamins (whole grains, leafy greens)'] | Workouts Recommendation: [""Rest: Most important early step"", ""Gentle stretching: After symptoms improve"", ""Walking: Light activity to reintroduce movement"", ""Avoid screens and bright lights: Limit visual strain""]"
Hypoglycemia,"Disease: Hypoglycemia | Disease Description: Hypoglycemia is a condition characterized by abnormally low blood sugar levels, often causing shakiness, sweating, confusion, irritability, or fainting, common in diabetics on insulin. | Precautions Recommendation: Eat small frequent meals, Carry glucose tablets, Avoid skipping meals, Monitor blood sugar levels | Medicines Recommendation: ['Glucose tablets', 'Juice or sugary snacks', 'Glucagon injection (emergency)', 'Adjust insulin or diabetes medication', 'Frequent meals'] | Diet Recommendation: ['Complex carbohydrates (whole grains, legumes)', 'Protein with every meal (eggs, nuts)', 'Avoid sugary snacks', 'Frequent small meals', 'Fiber-rich foods (vegetables, fruits)'] | Workouts Recommendation: [""Walking: Helps stabilize blood sugar"", ""Strength training: Builds muscle mass to support glucose use"", ""Avoid fasted workouts: Always eat before"", ""Frequent breaks: Monitor sugar levels during activity""]"
Hiatal Hernia,"Disease: Hiatal Hernia | Disease Description: A hiatal hernia occurs when the upper part of the stomach pushes through the diaphragm into the chest cavity, often causing symptoms like heartburn, reflux, and chest pain. | Precautions Recommendation: Eat small frequent meals, Avoid lying down after eating, Avoid spicy food, Maintain healthy weight | Medicines Recommendation: ['Antacids', 'Proton Pump Inhibitors (e.g., Omeprazole)', 'H2 Blockers (e.g., Ranitidine)', 'Prokinetic agents', 'Surgery (in severe cases)'] | Diet Recommendation: ['Small, frequent meals', 'Avoid spicy foods and caffeine', 'High-fiber foods (oats, vegetables)', 'Lean proteins (chicken, fish)', 'Avoid fatty and fried foods'] | Workouts Recommendation: [""Avoid crunches: Prevent abdominal pressure"", ""Gentle walking or cycling: Support digestion"", ""Breathing exercises: Improve diaphragm control"", ""Upright posture: During and after exercise""]"
Allergy,"Disease: Allergy | Disease Description: An allergy is an overreaction of the immune system to substances like pollen, food, or medications, causing symptoms like sneezing, itching, rash, or anaphylaxis. | Precautions Recommendation: Apply calamine, Cover area with bandage, Use ice to compress itching, Avoid known allergens | Medicines Recommendation: ['Antihistamines (e.g., Loratadine)', 'Decongestants (e.g., Pseudoephedrine)', 'Epinephrine auto-injectors', 'Corticosteroids', 'Immunotherapy (allergy shots)'] | Diet Recommendation: ['Elimination diet (avoid allergen foods)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Vitamin C-rich foods (oranges, bell peppers)', 'Quercetin-rich foods (apples, onions)', 'Probiotics (yogurt, kefir)'] | Workouts Recommendation: [""Indoor workouts: Avoid pollen and triggers"", ""Yoga: Calms body and immune system"", ""Swimming in clean pools: Clears airways"", ""Avoid exercising in high pollution: Protect respiratory health""]"
Acute Bronchospasm,"Disease: Acute Bronchospasm | Disease Description: Acute bronchospasm is a sudden constriction of the muscles in the walls of the bronchioles, often triggered by asthma or allergens, causing wheezing and difficulty breathing. | Precautions Recommendation: Avoid cold air, Use bronchodilator inhaler, Avoid allergens, Monitor breathing patterns | Medicines Recommendation: ['Short-acting beta-agonists (e.g., Albuterol)', 'Anticholinergics', 'Systemic corticosteroids', 'Oxygen therapy', 'Magnesium sulfate (in severe cases)'] | Diet Recommendation: ['Anti-inflammatory foods (ginger, turmeric)', 'Omega-3 fatty acids (wild salmon, chia seeds)', 'Vitamin C-rich foods (citrus fruits)', 'Hydration', 'Avoid dairy if mucus increases'] | Workouts Recommendation: [""Rest until stable: Avoid exertion during flare-ups"", ""Breathing exercises: Strengthen respiratory muscles"", ""Gentle stretching: Promote oxygen flow"", ""Indoor walking: In controlled environments""]"
Degenerative Disc Disease,"Disease: Degenerative Disc Disease | Disease Description: Degenerative disc disease is a condition where spinal discs break down over time, leading to back pain, reduced flexibility, and sometimes nerve compression. | Precautions Recommendation: Maintain healthy weight, Avoid lifting heavy items, Engage in back exercises, Use lumbar support | Medicines Recommendation: ['NSAIDs', 'Physical therapy', 'Muscle relaxants', 'Steroid injections', 'Surgery (e.g., spinal fusion in advanced cases)'] | Diet Recommendation: ['Calcium-rich foods (milk, cheese)', 'Vitamin D-rich foods (fatty fish, egg yolk)', 'Anti-inflammatory foods (berries, leafy greens)', 'Magnesium sources (pumpkin seeds, almonds)', 'Protein-rich foods (chicken, legumes)'] | Workouts Recommendation: [""Back stretches: Increase flexibility"", ""Core strengthening: Reduce spinal pressure"", ""Low-impact aerobics: Walking or elliptical"", ""Avoid heavy lifting: Prevent worsening symptoms""]"
Pain After An Operation,"Disease: Pain After An Operation | Disease Description: Pain after an operation (postoperative pain) is discomfort or soreness at the surgical site, which may be due to tissue injury, inflammation, or healing processes. | Precautions Recommendation: Take pain meds as prescribed, Avoid physical strain, Keep surgical area clean, Attend follow-up appointments | Medicines Recommendation: ['Acetaminophen', 'Opioids (e.g., Morphine, Tramadol)', 'NSAIDs', 'Local anesthetics', 'Nerve blocks'] | Diet Recommendation: ['High-protein foods (eggs, fish)', 'Vitamin C-rich foods (kiwi, strawberries)', 'Zinc-rich foods (beef, nuts)', 'Anti-inflammatory foods (turmeric, ginger)', 'Hydration'] | Workouts Recommendation: [""Guided physiotherapy: Safe recovery progression"", ""Deep breathing: Prevent lung complications post-surgery"", ""Slow walking: Improves circulation"", ""Avoid high-intensity activity: Allow full healing""]"
Injury To The Leg,"Disease: Injury To The Leg | Disease Description: Injury to the leg includes trauma to any part of the leg such as the thigh, knee, shin, or ankle, potentially involving muscles, bones, or ligaments. | Precautions Recommendation: Elevate the leg, Apply ice packs, Avoid putting weight, Use crutches if advised | Medicines Recommendation: ['Pain relievers', 'Compression bandages', 'Crutches or brace', 'Physical therapy', 'Antibiotics (if open wound)'] | Diet Recommendation: ['Protein-rich foods (lean meats, beans)', 'Vitamin C-rich foods (oranges, strawberries)', 'Zinc-rich foods (shellfish, pumpkin seeds)', 'Anti-inflammatory spices (ginger, turmeric)', 'Hydration'] | Workouts Recommendation: [""Non-weight-bearing exercises: Like swimming or seated stretches"", ""Range-of-motion: Prevent stiffness"", ""Strength training: After healing starts"", ""Balance exercises: Reduce fall risk later""]"
Gout,"Disease: Gout | Disease Description: Gout is a form of inflammatory arthritis caused by buildup of uric acid crystals in joints, leading to sudden, severe pain, redness, and swelling, often in the big toe. | Precautions Recommendation: Avoid purine-rich food, Stay hydrated, Limit alcohol intake, Take medication as prescribed | Medicines Recommendation: ['Colchicine', 'NSAIDs (e.g., Indomethacin)', 'Allopurinol', 'Febuxostat', 'Corticosteroids'] | Diet Recommendation: ['Low-purine foods (vegetables, whole grains)', 'Cherries and berries', 'Hydration', 'Limit red meat and seafood', 'Avoid alcohol and sugary drinks'] | Workouts Recommendation: [""Low-impact exercises: Like cycling or swimming"", ""Joint mobility drills: Keep joints flexible"", ""Avoid intense weight-bearing: During flare-ups"", ""Stretching: Reduce stiffness in affected areas""]"
Otitis Media,"Disease: Otitis Media | Disease Description: Otitis media is a middle ear infection that commonly affects children, causing ear pain, fever, irritability, and sometimes fluid discharge from the ear. | Precautions Recommendation: Avoid water entering ears, Take antibiotics as prescribed, Use warm compress, Follow up with ENT specialist | Medicines Recommendation: ['Amoxicillin', 'Cefdinir', 'Acetaminophen for pain', 'Decongestants', 'Tympanostomy (if recurrent)'] | Diet Recommendation: ['Hydrating fluids (water, herbal teas)', 'Vitamin C-rich foods (citrus fruits)', 'Probiotics (yogurt, kefir)', 'Avoid dairy if it increases mucus', 'Anti-inflammatory foods (ginger, turmeric)'] | Workouts Recommendation: [""Rest: Especially during acute phase"", ""Avoid swimming: Prevent water exposure to ears"", ""Light walking: If energy permits"", ""Neck stretches: Relieve ear canal pressure""]"
Acute Kidney Injury,"Disease: Acute Kidney Injury | Disease Description: Acute kidney injury (AKI) is a sudden loss of kidney function due to illness, injury, or toxins, leading to buildup of waste products in the blood. | Precautions Recommendation: Avoid NSAIDs, Stay hydrated, Monitor fluid intake, Follow renal diet plan | Medicines Recommendation: ['IV fluids', 'Diuretics (e.g., Furosemide)', 'Electrolyte management', 'Discontinue nephrotoxic drugs', 'Dialysis (if severe)'] | Diet Recommendation: ['Low-protein diet (consult doctor)', 'Limit sodium (avoid processed foods)', 'Potassium regulation (bananas, potatoes – based on medical advice)', 'Hydration monitoring', 'Avoid high-phosphorus foods (dairy, nuts)'] | Workouts Recommendation: [""Gentle activity: Like walking during recovery"", ""Avoid dehydration: Prioritize fluids with workouts"", ""Strength training: Only when kidney function stabilizes"", ""Workouts under supervision: Monitor vital signs""]"
Threatened Pregnancy,"Disease: Threatened Pregnancy | Disease Description: A threatened pregnancy refers to early pregnancy complications, such as vaginal bleeding or cramping, that may suggest a risk of miscarriage but with a still viable fetus. | Precautions Recommendation: Take prescribed medications, Avoid stress and lifting heavy items, Get regular checkups, Rest as recommended | Medicines Recommendation: ['Progesterone supplements', 'Folic acid', 'Bed rest (limited use)', 'IV fluids (if dehydrated)', 'Close monitoring with ultrasound'] | Diet Recommendation: ['Folic acid-rich foods (leafy greens, beans)', 'Iron-rich foods (red meat, lentils)', 'Hydration', 'Balanced diet with protein (chicken, fish)', 'Avoid alcohol, caffeine, and high-mercury fish'] | Workouts Recommendation: [""Modified bed rest: Based on doctor's advice"", ""Breathing exercises: Reduce anxiety"", ""Pelvic floor (Kegel) exercises: Safe for pelvic support"", ""Avoid high-impact workouts: Prevent complications""]"
Gum Disease,"Disease: Gum Disease | Disease Description: Gum disease (periodontal disease) is an infection and inflammation of the gums and surrounding tissues, often caused by poor oral hygiene, leading to bleeding, receding gums, and tooth loss. | Precautions Recommendation: Maintain oral hygiene, Floss daily, Avoid smoking, Visit dentist regularly | Medicines Recommendation: ['Antibacterial mouthwash (e.g., Chlorhexidine)', 'Scaling and root planing', 'Doxycycline', 'Fluoride toothpaste', 'Surgical interventions (if severe)'] | Diet Recommendation: ['Vitamin C-rich foods (citrus fruits, strawberries)', 'Calcium-rich foods (milk, yogurt)', 'Green tea', 'Avoid sugary and sticky foods', 'Omega-3 fatty acids (walnuts, flaxseeds)'] | Workouts Recommendation: [""Oral hygiene focus: Brush and floss regularly"", ""Avoid sugary sports drinks: Prevent bacterial growth"", ""Stay hydrated: Supports gum health"", ""No specific physical activity restriction: Follow general wellness plan""]"
Gastrointestinal Hemorrhage,"Disease: Gastrointestinal Hemorrhage | Disease Description: Gastrointestinal hemorrhage is bleeding that occurs anywhere along the digestive tract, often presenting as vomiting blood or black, tarry stools, and can be caused by ulcers, varices, or cancer. | Precautions Recommendation: Avoid NSAIDs, Eat a soft bland diet, Limit alcohol, Follow up with GI specialist | Medicines Recommendation: ['IV proton pump inhibitors (e.g., Pantoprazole)', 'Endoscopic hemostasis', 'Blood transfusion', 'Octreotide (for variceal bleeding)', 'Antibiotics (e.g., Ceftriaxone) if cirrhosis present'] | Diet Recommendation: ['Avoid spicy and acidic foods', 'Bland diet (bananas, rice, applesauce)', 'Hydration', 'Iron-rich foods post bleeding (spinach, beans)', 'Avoid alcohol and NSAIDs'] | Workouts Recommendation: [""Rest: Avoid strenuous activity during active bleeding"", ""Breathing exercises: Manage stress on the digestive system"", ""Gentle walking: Only after stabilization"", ""Avoid abdominal strain: Prevent re-bleeding""]"
Anxiety,"Disease: Anxiety | Disease Description: Anxiety is a mental health condition characterized by excessive worry, nervousness, or fear that interferes with daily activities, often accompanied by physical symptoms like restlessness, sweating, or rapid heartbeat. | Precautions Recommendation: Practice relaxation techniques, Avoid stimulants like caffeine, Maintain regular sleep, Seek counseling if needed | Medicines Recommendation: ['SSRIs (e.g., Escitalopram)', 'SNRIs (e.g., Duloxetine)', 'Benzodiazepines (short-term use)', 'Buspirone', 'Cognitive Behavioral Therapy (CBT)'] | Diet Recommendation: ['Magnesium-rich foods (nuts, seeds)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Vitamin B-complex foods (whole grains, eggs)', 'Probiotics (kimchi, yogurt)', 'Limit caffeine and sugar'] | Workouts Recommendation: [""Yoga: Combines movement and mindfulness"", ""Breathing exercises: Control physiological symptoms"", ""Walking in nature: Calms the mind"", ""Tai chi: Improve mental and emotional balance""]"
